Nov 22 2017,Dallas Mavericks,Memphis Grizzlies
Nov 22 2017,Boston Celtics,Miami Heat
Nov 22 2017,Orlando Magic,Minnesota Timberwolves
Nov 22 2017,San Antonio Spurs,New Orleans Pelicans
Nov 22 2017,Toronto Raptors,New York Knicks
Nov 22 2017,Golden State Warriors,Oklahoma City Thunder
Nov 22 2017,Portland Trail Blazers,Philadelphia 76ers
Nov 22 2017,Milwaukee Bucks,Phoenix Suns
Nov 22 2017,Los Angeles Lakers,Sacramento Kings
Nov 22 2017,Chicago Bulls,Utah Jazz
Nov 24 2017,New York Knicks,Atlanta Hawks
Nov 24 2017,Orlando Magic,Boston Celtics
Nov 24 2017,Portland Trail Blazers,Brooklyn Nets
Nov 24 2017,Charlotte Hornets,Cleveland Cavaliers
Nov 24 2017,Memphis Grizzlies,Denver Nuggets
Nov 24 2017,Chicago Bulls,Golden State Warriors
Nov 24 2017,Toronto Raptors,Indiana Pacers
Nov 24 2017,Miami Heat,Minnesota Timberwolves
Nov 24 2017,Detroit Pistons,Oklahoma City Thunder
Nov 24 2017,New Orleans Pelicans,Phoenix Suns
Nov 25 2017,Toronto Raptors,Atlanta Hawks
Nov 25 2017,San Antonio Spurs,Charlotte Hornets
Nov 25 2017,Oklahoma City Thunder,Dallas Mavericks
Nov 25 2017,New Orleans Pelicans,Golden State Warriors
Nov 25 2017,New York Knicks,Houston Rockets
Nov 25 2017,Boston Celtics,Indiana Pacers
Nov 25 2017,Orlando Magic,Philadelphia 76ers
Nov 25 2017,Los Angeles Clippers,Sacramento Kings
Nov 25 2017,Milwaukee Bucks,Utah Jazz
Nov 25 2017,Portland Trail Blazers,Washington Wizards
Nov 26 2017,Miami Heat,Chicago Bulls
Nov 26 2017,Brooklyn Nets,Memphis Grizzlies
Nov 26 2017,Phoenix Suns,Minnesota Timberwolves
Nov 27 2017,Detroit Pistons,Boston Celtics
Nov 27 2017,Sacramento Kings,Golden State Warriors
Nov 27 2017,Brooklyn Nets,Houston Rockets
Nov 27 2017,Orlando Magic,Indiana Pacers
Nov 27 2017,Los Angeles Lakers,Los Angeles Clippers
Nov 27 2017,Portland Trail Blazers,New York Knicks
Nov 27 2017,Cleveland Cavaliers,Philadelphia 76ers
Nov 27 2017,Dallas Mavericks,San Antonio Spurs
Nov 28 2017,Phoenix Suns,Chicago Bulls
Nov 28 2017,Miami Heat,Cleveland Cavaliers
Nov 28 2017,Washington Wizards,Minnesota Timberwolves
Nov 28 2017,Milwaukee Bucks,Sacramento Kings
Nov 28 2017,Denver Nuggets,Utah Jazz
Nov 29 2017,Brooklyn Nets,Dallas Mavericks
Nov 29 2017,Phoenix Suns,Detroit Pistons
Nov 29 2017,Indiana Pacers,Houston Rockets
Nov 29 2017,Golden State Warriors,Los Angeles Lakers
Nov 29 2017,Minnesota Timberwolves,New Orleans Pelicans
Nov 29 2017,Miami Heat,New York Knicks
Nov 29 2017,Oklahoma City Thunder,Orlando Magic
Nov 29 2017,Washington Wizards,Philadelphia 76ers
Nov 29 2017,Memphis Grizzlies,San Antonio Spurs
Nov 29 2017,Charlotte Hornets,Toronto Raptors
Nov 30 2017,Cleveland Cavaliers,Atlanta Hawks
Nov 30 2017,Philadelphia 76ers,Boston Celtics
Nov 30 2017,Chicago Bulls,Denver Nuggets
Nov 30 2017,Utah Jazz,Los Angeles Clippers
Nov 30 2017,Milwaukee Bucks,Portland Trail Blazers
Dec 1 2017,Sacramento Kings,Chicago Bulls
Dec 1 2017,San Antonio Spurs,Memphis Grizzlies
Dec 1 2017,Charlotte Hornets,Miami Heat
Dec 1 2017,Minnesota Timberwolves,Oklahoma City Thunder
Dec 1 2017,Golden State Warriors,Orlando Magic
Dec 1 2017,Indiana Pacers,Toronto Raptors
Dec 1 2017,New Orleans Pelicans,Utah Jazz
Dec 1 2017,Detroit Pistons,Washington Wizards
Dec 2 2017,Phoenix Suns,Boston Celtics
Dec 2 2017,Atlanta Hawks,Brooklyn Nets
Dec 2 2017,Memphis Grizzlies,Cleveland Cavaliers
Dec 2 2017,Los Angeles Clippers,Dallas Mavericks
Dec 2 2017,Los Angeles Lakers,Denver Nuggets
Dec 2 2017,Sacramento Kings,Milwaukee Bucks
Dec 2 2017,Detroit Pistons,Philadelphia 76ers
Dec 2 2017,New Orleans Pelicans,Portland Trail Blazers
Dec 3 2017,Houston Rockets,Los Angeles Lakers
Dec 3 2017,Golden State Warriors,Miami Heat
Dec 3 2017,Los Angeles Clippers,Minnesota Timberwolves
Dec 3 2017,Orlando Magic,New York Knicks
Dec 3 2017,San Antonio Spurs,Oklahoma City Thunder
Dec 4 2017,Brooklyn Nets,Atlanta Hawks
Dec 4 2017,Milwaukee Bucks,Boston Celtics
Dec 4 2017,Cleveland Cavaliers,Chicago Bulls
Dec 4 2017,Orlando Magic,Charlotte Hornets
Dec 4 2017,Denver Nuggets,Dallas Mavericks
Dec 4 2017,New York Knicks,Indiana Pacers
Dec 4 2017,Minnesota Timberwolves,Memphis Grizzlies
Dec 4 2017,Golden State Warriors,New Orleans Pelicans
Dec 4 2017,Phoenix Suns,Philadelphia 76ers
Dec 4 2017,Detroit Pistons,San Antonio Spurs
Dec 4 2017,Washington Wizards,Utah Jazz
Dec 5 2017,Utah Jazz,Oklahoma City Thunder
Dec 5 2017,Washington Wizards,Portland Trail Blazers
Dec 5 2017,Phoenix Suns,Toronto Raptors
Dec 6 2017,Dallas Mavericks,Boston Celtics
Dec 6 2017,Golden State Warriors,Charlotte Hornets
Dec 6 2017,Sacramento Kings,Cleveland Cavaliers
Dec 6 2017,Chicago Bulls,Indiana Pacers
Dec 6 2017,Minnesota Timberwolves,Los Angeles Clippers
Dec 6 2017,Detroit Pistons,Milwaukee Bucks
Dec 6 2017,Denver Nuggets,New Orleans Pelicans
Dec 6 2017,Memphis Grizzlies,New York Knicks
Dec 6 2017,Atlanta Hawks,Orlando Magic
Dec 6 2017,Miami Heat,San Antonio Spurs
Dec 7 2017,Oklahoma City Thunder,Brooklyn Nets
Dec 7 2017,Los Angeles Lakers,Philadelphia 76ers
Dec 7 2017,Washington Wizards,Phoenix Suns
Dec 7 2017,Houston Rockets,Utah Jazz
Dec 8 2017,Chicago Bulls,Charlotte Hornets
Dec 8 2017,Golden State Warriors,Detroit Pistons
Dec 8 2017,Cleveland Cavaliers,Indiana Pacers
Dec 8 2017,Toronto Raptors,Memphis Grizzlies
Dec 8 2017,Dallas Mavericks,Milwaukee Bucks
Dec 8 2017,Sacramento Kings,New Orleans Pelicans
Dec 8 2017,Denver Nuggets,Orlando Magic
Dec 8 2017,Boston Celtics,San Antonio Spurs
Dec 9 2017,Orlando Magic,Atlanta Hawks
Dec 9 2017,Miami Heat,Brooklyn Nets
Dec 9 2017,New York Knicks,Chicago Bulls
Dec 9 2017,Los Angeles Lakers,Charlotte Hornets
Dec 9 2017,Philadelphia 76ers,Cleveland Cavaliers
Dec 9 2017,Washington Wizards,Los Angeles Clippers
Dec 9 2017,Oklahoma City Thunder,Memphis Grizzlies
Dec 9 2017,Utah Jazz,Milwaukee Bucks
Dec 9 2017,San Antonio Spurs,Phoenix Suns
Dec 9 2017,Houston Rockets,Portland Trail Blazers
Dec 10 2017,Boston Celtics,Detroit Pistons
Dec 10 2017,Denver Nuggets,Indiana Pacers
Dec 10 2017,Dallas Mavericks,Minnesota Timberwolves
Dec 10 2017,Philadelphia 76ers,New Orleans Pelicans
Dec 10 2017,Atlanta Hawks,New York Knicks
Dec 10 2017,Toronto Raptors,Sacramento Kings
Dec 11 2017,Boston Celtics,Chicago Bulls
Dec 11 2017,Portland Trail Blazers,Golden State Warriors
Dec 11 2017,New Orleans Pelicans,Houston Rockets
Dec 11 2017,Toronto Raptors,Los Angeles Clippers
Dec 11 2017,Miami Heat,Memphis Grizzlies
Dec 11 2017,Charlotte Hornets,Oklahoma City Thunder
Dec 12 2017,Washington Wizards,Brooklyn Nets
Dec 12 2017,Atlanta Hawks,Cleveland Cavaliers
Dec 12 2017,San Antonio Spurs,Dallas Mavericks
Dec 12 2017,Denver Nuggets,Detroit Pistons
Dec 12 2017,Philadelphia 76ers,Minnesota Timberwolves
Dec 12 2017,Los Angeles Lakers,New York Knicks
Dec 12 2017,Phoenix Suns,Sacramento Kings
Dec 13 2017,Denver Nuggets,Boston Celtics
Dec 13 2017,Utah Jazz,Chicago Bulls
Dec 13 2017,Charlotte Hornets,Houston Rockets
Dec 13 2017,Oklahoma City Thunder,Indiana Pacers
Dec 13 2017,Portland Trail Blazers,Miami Heat
Dec 13 2017,Milwaukee Bucks,New Orleans Pelicans
Dec 13 2017,Los Angeles Clippers,Orlando Magic
Dec 13 2017,Toronto Raptors,Phoenix Suns
Dec 13 2017,Memphis Grizzlies,Washington Wizards
Dec 14 2017,Detroit Pistons,Atlanta Hawks
Dec 14 2017,New York Knicks,Brooklyn Nets
Dec 14 2017,Los Angeles Lakers,Cleveland Cavaliers
Dec 14 2017,Dallas Mavericks,Golden State Warriors
Dec 14 2017,Sacramento Kings,Minnesota Timberwolves
Dec 15 2017,Utah Jazz,Boston Celtics
Dec 15 2017,Miami Heat,Charlotte Hornets
Dec 15 2017,New Orleans Pelicans,Denver Nuggets
Dec 15 2017,San Antonio Spurs,Houston Rockets
Dec 15 2017,Detroit Pistons,Indiana Pacers
Dec 15 2017,Atlanta Hawks,Memphis Grizzlies
Dec 15 2017,Chicago Bulls,Milwaukee Bucks
Dec 15 2017,Portland Trail Blazers,Orlando Magic
Dec 15 2017,Oklahoma City Thunder,Philadelphia 76ers
Dec 15 2017,Brooklyn Nets,Toronto Raptors
Dec 15 2017,Los Angeles Clippers,Washington Wizards
Dec 16 2017,Portland Trail Blazers,Charlotte Hornets
Dec 16 2017,Utah Jazz,Cleveland Cavaliers
Dec 16 2017,Milwaukee Bucks,Houston Rockets
Dec 16 2017,Boston Celtics,Memphis Grizzlies
Dec 16 2017,Los Angeles Clippers,Miami Heat
Dec 16 2017,Phoenix Suns,Minnesota Timberwolves
Dec 16 2017,Oklahoma City Thunder,New York Knicks
Dec 16 2017,Dallas Mavericks,San Antonio Spurs
Dec 17 2017,Indiana Pacers,Brooklyn Nets
Dec 17 2017,Orlando Magic,Detroit Pistons
Dec 17 2017,Sacramento Kings,Toronto Raptors
Dec 17 2017,Cleveland Cavaliers,Washington Wizards
Dec 18 2017,Miami Heat,Atlanta Hawks
Dec 18 2017,Philadelphia 76ers,Chicago Bulls
Dec 18 2017,New York Knicks,Charlotte Hornets
Dec 18 2017,Phoenix Suns,Dallas Mavericks
Dec 18 2017,Utah Jazz,Houston Rockets
Dec 18 2017,Boston Celtics,Indiana Pacers
Dec 18 2017,Golden State Warriors,Los Angeles Lakers
Dec 18 2017,Portland Trail Blazers,Minnesota Timberwolves
Dec 18 2017,Denver Nuggets,Oklahoma City Thunder
Dec 18 2017,Los Angeles Clippers,San Antonio Spurs
Dec 19 2017,Cleveland Cavaliers,Milwaukee Bucks
Dec 19 2017,Sacramento Kings,Philadelphia 76ers
Dec 19 2017,New Orleans Pelicans,Washington Wizards
Dec 20 2017,Indiana Pacers,Atlanta Hawks
Dec 20 2017,Miami Heat,Boston Celtics
Dec 20 2017,Sacramento Kings,Brooklyn Nets
Dec 20 2017,Orlando Magic,Chicago Bulls
Dec 20 2017,Toronto Raptors,Charlotte Hornets
Dec 20 2017,Detroit Pistons,Dallas Mavericks
Dec 20 2017,Minnesota Timberwolves,Denver Nuggets
Dec 20 2017,Memphis Grizzlies,Golden State Warriors
Dec 20 2017,Los Angeles Lakers,Houston Rockets
Dec 20 2017,Phoenix Suns,Los Angeles Clippers
Dec 20 2017,Utah Jazz,Oklahoma City Thunder
Dec 20 2017,San Antonio Spurs,Portland Trail Blazers
Dec 21 2017,Chicago Bulls,Cleveland Cavaliers
Dec 21 2017,Boston Celtics,New York Knicks
Dec 21 2017,Toronto Raptors,Philadelphia 76ers
Dec 21 2017,Memphis Grizzlies,Phoenix Suns
Dec 21 2017,San Antonio Spurs,Utah Jazz
Dec 22 2017,Washington Wizards,Brooklyn Nets
Dec 22 2017,New York Knicks,Detroit Pistons
Dec 22 2017,Los Angeles Lakers,Golden State Warriors
Dec 22 2017,Los Angeles Clippers,Houston Rockets
Dec 22 2017,Dallas Mavericks,Miami Heat
Dec 22 2017,Charlotte Hornets,Milwaukee Bucks
Dec 22 2017,Atlanta Hawks,Oklahoma City Thunder
Dec 22 2017,New Orleans Pelicans,Orlando Magic
Dec 22 2017,Denver Nuggets,Portland Trail Blazers
Dec 23 2017,Dallas Mavericks,Atlanta Hawks
Dec 23 2017,Chicago Bulls,Boston Celtics
Dec 23 2017,Milwaukee Bucks,Charlotte Hornets
Dec 23 2017,Denver Nuggets,Golden State Warriors
Dec 23 2017,Brooklyn Nets,Indiana Pacers
Dec 23 2017,Portland Trail Blazers,Los Angeles Lakers
Dec 23 2017,Los Angeles Clippers,Memphis Grizzlies
Dec 23 2017,New Orleans Pelicans,Miami Heat
Dec 23 2017,Minnesota Timberwolves,Phoenix Suns
Dec 23 2017,San Antonio Spurs,Sacramento Kings
Dec 23 2017,Philadelphia 76ers,Toronto Raptors
Dec 23 2017,Oklahoma City Thunder,Utah Jazz
Dec 23 2017,Orlando Magic,Washington Wizards
Dec 25 2017,Washington Wizards,Boston Celtics
Dec 25 2017,Cleveland Cavaliers,Golden State Warriors
Dec 25 2017,Minnesota Timberwolves,Los Angeles Lakers
Dec 25 2017,Philadelphia 76ers,New York Knicks
Dec 25 2017,Houston Rockets,Oklahoma City Thunder
Dec 26 2017,Toronto Raptors,Dallas Mavericks
Dec 26 2017,Utah Jazz,Denver Nuggets
Dec 26 2017,Indiana Pacers,Detroit Pistons
Dec 26 2017,Sacramento Kings,Los Angeles Clippers
Dec 26 2017,Orlando Magic,Miami Heat
Dec 26 2017,Chicago Bulls,Milwaukee Bucks
Dec 26 2017,Memphis Grizzlies,Phoenix Suns
Dec 26 2017,Brooklyn Nets,San Antonio Spurs
Dec 27 2017,Washington Wizards,Atlanta Hawks
Dec 27 2017,New York Knicks,Chicago Bulls
Dec 27 2017,Boston Celtics,Charlotte Hornets
Dec 27 2017,Utah Jazz,Golden State Warriors
Dec 27 2017,Dallas Mavericks,Indiana Pacers
Dec 27 2017,Memphis Grizzlies,Los Angeles Lakers
Dec 27 2017,Denver Nuggets,Minnesota Timberwolves
Dec 27 2017,Brooklyn Nets,New Orleans Pelicans
Dec 27 2017,Toronto Raptors,Oklahoma City Thunder
Dec 27 2017,Cleveland Cavaliers,Sacramento Kings
Dec 28 2017,Houston Rockets,Boston Celtics
Dec 28 2017,Minnesota Timberwolves,Milwaukee Bucks
Dec 28 2017,Detroit Pistons,Orlando Magic
Dec 28 2017,Philadelphia 76ers,Portland Trail Blazers
Dec 28 2017,New York Knicks,San Antonio Spurs
Dec 29 2017,Indiana Pacers,Chicago Bulls
Dec 29 2017,Charlotte Hornets,Golden State Warriors
Dec 29 2017,Los Angeles Clippers,Los Angeles Lakers
Dec 29 2017,Brooklyn Nets,Miami Heat
Dec 29 2017,Dallas Mavericks,New Orleans Pelicans
Dec 29 2017,Milwaukee Bucks,Oklahoma City Thunder
Dec 29 2017,Phoenix Suns,Sacramento Kings
Dec 29 2017,Atlanta Hawks,Toronto Raptors
Dec 29 2017,Houston Rockets,Washington Wizards
Dec 30 2017,Portland Trail Blazers,Atlanta Hawks
Dec 30 2017,Philadelphia 76ers,Denver Nuggets
Dec 30 2017,San Antonio Spurs,Detroit Pistons
Dec 30 2017,Memphis Grizzlies,Golden State Warriors
Dec 30 2017,New York Knicks,New Orleans Pelicans
Dec 30 2017,Miami Heat,Orlando Magic
Dec 30 2017,Cleveland Cavaliers,Utah Jazz
Dec 31 2017,Brooklyn Nets,Boston Celtics
Dec 31 2017,Los Angeles Lakers,Houston Rockets
Dec 31 2017,Minnesota Timberwolves,Indiana Pacers
Dec 31 2017,Charlotte Hornets,Los Angeles Clippers
Dec 31 2017,Dallas Mavericks,Oklahoma City Thunder
Dec 31 2017,Philadelphia 76ers,Phoenix Suns
Dec 31 2017,Memphis Grizzlies,Sacramento Kings
Dec 31 2017,Chicago Bulls,Washington Wizards
Jan 1 2018,Orlando Magic,Brooklyn Nets
Jan 1 2018,Portland Trail Blazers,Chicago Bulls
Jan 1 2018,Los Angeles Lakers,Minnesota Timberwolves
Jan 1 2018,Milwaukee Bucks,Toronto Raptors
Jan 2 2018,Portland Trail Blazers,Cleveland Cavaliers
Jan 2 2018,Memphis Grizzlies,Los Angeles Clippers
Jan 2 2018,San Antonio Spurs,New York Knicks
Jan 2 2018,Atlanta Hawks,Phoenix Suns
Jan 2 2018,Charlotte Hornets,Sacramento Kings
Jan 3 2018,Cleveland Cavaliers,Boston Celtics
Jan 3 2018,Minnesota Timberwolves,Brooklyn Nets
Jan 3 2018,Toronto Raptors,Chicago Bulls
Jan 3 2018,Golden State Warriors,Dallas Mavericks
Jan 3 2018,Phoenix Suns,Denver Nuggets
Jan 3 2018,Oklahoma City Thunder,Los Angeles Lakers
Jan 3 2018,Detroit Pistons,Miami Heat
Jan 3 2018,Indiana Pacers,Milwaukee Bucks
Jan 3 2018,Houston Rockets,Orlando Magic
Jan 3 2018,San Antonio Spurs,Philadelphia 76ers
Jan 3 2018,New Orleans Pelicans,Utah Jazz
Jan 3 2018,New York Knicks,Washington Wizards
Jan 4 2018,Golden State Warriors,Houston Rockets
Jan 4 2018,Oklahoma City Thunder,Los Angeles Clippers
Jan 5 2018,Minnesota Timberwolves,Boston Celtics
Jan 5 2018,Chicago Bulls,Dallas Mavericks
Jan 5 2018,Utah Jazz,Denver Nuggets
Jan 5 2018,Charlotte Hornets,Los Angeles Lakers
Jan 5 2018,Washington Wizards,Memphis Grizzlies
Jan 5 2018,New York Knicks,Miami Heat
Jan 5 2018,Toronto Raptors,Milwaukee Bucks
Jan 5 2018,Detroit Pistons,Philadelphia 76ers
Jan 5 2018,Atlanta Hawks,Portland Trail Blazers
Jan 5 2018,Phoenix Suns,San Antonio Spurs
Jan 6 2018,Boston Celtics,Brooklyn Nets
Jan 6 2018,Houston Rockets,Detroit Pistons
Jan 6 2018,Chicago Bulls,Indiana Pacers
Jan 6 2018,Golden State Warriors,Los Angeles Clippers
Jan 6 2018,New Orleans Pelicans,Minnesota Timberwolves
Jan 6 2018,Cleveland Cavaliers,Orlando Magic
Jan 6 2018,Denver Nuggets,Sacramento Kings
Jan 6 2018,Milwaukee Bucks,Washington Wizards
